date,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,pressure_msl_mean
2018-09-28 00:00:00+00:00,29.764414,49.28641,0.0,1013.8249
2018-09-29 00:00:00+00:00,30.543587,42.90764,0.0,1012.3083
2018-09-30 00:00:00+00:00,29.066504,62.89552,0.2,1013.66254
2018-10-01 00:00:00+00:00,27.835257,66.431206,1.3,1014.0667
2018-10-02 00:00:00+00:00,28.0665,60.12721,0.0,1015.0667
2018-10-03 00:00:00+00:00,27.937338,59.371716,0.0,1015.62085
2018-10-04 00:00:00+00:00,26.949835,54.309444,0.0,1016.6584
2018-10-05 00:00:00+00:00,27.424835,57.959545,0.0,1016.5874
2018-10-06 00:00:00+00:00,26.645666,60.10259,0.0,1015.3584
2018-10-07 00:00:00+00:00,26.151917,52.624863,0.0,1013.79987
2018-10-08 00:00:00+00:00,25.154001,53.57176,0.0,1014.0042
2018-10-09 00:00:00+00:00,25.049837,52.662613,0.0,1014.09576
2018-10-10 00:00:00+00:00,24.687334,53.695347,0.0,1014.49176
2018-10-11 00:00:00+00:00,24.293585,55.43359,0.0,1014.7417
2018-10-12 00:00:00+00:00,24.264414,55.165905,0.0,1015.25
2018-10-13 00:00:00+00:00,24.233168,52.389927,0.0,1016.08746
2018-10-14 00:00:00+00:00,24.253998,52.186295,0.0,1015.8499
2018-10-15 00:00:00+00:00,24.404,53.838886,0.0,1016.12915
2018-10-16 00:00:00+00:00,24.126917,58.20902,0.0,1016.1834
2018-10-17 00:00:00+00:00,24.229002,55.40494,0.0,1014.0041
2018-10-18 00:00:00+00:00,24.033167,52.923676,0.0,1012.64996
2018-10-19 00:00:00+00:00,24.4415,58.27299,0.0,1013.2249
2018-10-20 00:00:00+00:00,25.547752,57.765182,0.0,1013.11664
2018-10-21 00:00:00+00:00,27.15817,39.97743,0.0,1011.35406
2018-10-22 00:00:00+00:00,27.662333,32.41754,0.0,1011.325
2018-10-23 00:00:00+00:00,26.3415,36.732758,0.0,1010.9917
2018-10-24 00:00:00+00:00,27.108164,35.35761,0.0,1008.45416
2018-10-25 00:00:00+00:00,24.55609,45.924282,0.3,1009.27515
2018-10-26 00:00:00+00:00,21.216497,46.759907,0.1,1018.12085
2018-10-27 00:00:00+00:00,20.93733,47.8967,0.0,1021.3625
2018-10-28 00:00:00+00:00,21.774834,47.696598,0.0,1019.4167
2018-10-29 00:00:00+00:00,22.162336,41.48067,0.0,1017.179
2018-10-30 00:00:00+00:00,23.231085,48.096436,0.0,1017.2126
2018-10-31 00:00:00+00:00,23.195665,53.624985,0.0,1017.7039
2018-11-01 00:00:00+00:00,23.416498,49.244076,0.0,1016.6833
